Schedule_number,Blue_Interval,Yellow_Interval,Blue_Pun_Interval,Yellow_Pun_Interval,Blue_Ratio,Yellow_Ratio,Blue_Pun_Ratio,Yellow_Pun_Ratio,Blue_Random_Interval,Yellow_Random_Interval,Blue_Pun_Random_Interval,Yellow_Pun_Random_Interval,Blue_Random_Ratio,Yellow_Random_Ratio,Blue_Pun_Random_Ratio,Yellow_Pun_Random_Ratio,Blue_FH,Yellow_FH,Blue_Pun_FH,Yellow_Pun_FH,Blue_FH_Intervals,Yellow_FH_Intervals,Blue_Pun_FH_Intervals,Yellow_Pun_FH_Intervals,Blue_FH_Type,Yellow_FH_Type,Blue_Pun_FH_Type,Yellow_Pun_FH_Type,Session_Duration,Blue_Mag,Yellow_Mag,Blue_Pun_Mag,Yellow_Pun_Mag,Changeover_Delay,Blackout_Duration,Blue_Distribution,Yellow_Distribution,Blue_Pun_Distribution,Yellow_Pun_Distribution,SD_Blue,SD_Yellow,SD_Blue_Pun,SD_Yellow_Pun,Schedule_Lights,Context_Path,Context_Position,Context_Size,Context_Opacity,Context_Depth,Ding_Path,Womp_Path,Keyboard_Path
1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,100,0,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
2,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,100,0,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
3,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,100,0,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
4,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,100,0,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
5,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,0,100,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/grassland_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
6,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,0,100,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/grassland_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
7,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,0,100,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/grassland_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
8,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,TRUE,TRUE,0,100,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/grassland_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
9,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,TRUE,FALSE,FALSE,0,50,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
10,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,FALSE,TRUE,FALSE,FALSE,0,50,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
11,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,FALSE,TRUE,FALSE,FALSE,0,50,x,x,Random,Random,x,x,2,1,1,1,1,0.5,5,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
12,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,FALSE,TRUE,FALSE,FALSE,0,50,x,x,Random,Random,x,x,2,1,1,1,1,0.5,300,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/snow_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
13,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,TRUE,FALSE,FALSE,FALSE,100,0,x,x,Random,Random,x,x,2,1,1,1,1,0.5,1,Exponential,Exponential,Exponential,Exponential,0.5,0.5,x,x,x,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/contexts/desert_context.jpg,"(0,0)","(2,2)",x,1,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ding.wav,C:/Users/Falligant/Desktop/PRESS-B Code and Necessary Documents/stimuli/ha.wav,x
